Track Name,Track Artist,Track Genre,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6
LUNCH,Billie Eilish,"['art pop', 'pop']",art pop,pop,,,,
CHIHIRO,Billie Eilish,"['art pop', 'pop']",art pop,pop,,,,
