Track Name,Track Artist,Track Genre,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6
Monastery,"Ryan Castro, Feid","['reggaeton', 'trap colombiano', 'trap latino', 'urbano latino']",reggaeton,trap colombiano,trap latino,urbano latino,,
PUEBLO DE MEDALLO,"Ryan Castro, Arcángel","['reggaeton', 'trap colombiano', 'trap latino', 'urbano latino']",reggaeton,trap colombiano,trap latino,urbano latino,,
