Track Name,Track Artist,Track Genre,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6
Dile,Don Omar,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",latin hip hop,puerto rican pop,reggaeton,trap latino,urbano latino,
Pa' Que Retozen,Tego Calderón,"['latin hip hop', 'rap boricua', 'reggaeton', 'trap latino', 'urbano latino']",latin hip hop,rap boricua,reggaeton,trap latino,urbano latino,
