Track Name,Track Artist,Track Genre,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6
Una Hoja en Blanco,"Omar Geles, Esmeralda","['vallenato', 'vallenato moderno']",vallenato,vallenato moderno,,,,
Busca Un Confidente,Los Diablitos,['vallenato'],vallenato,,,,,
Cuando Casi Te Olvidaba,Los Diablitos,['vallenato'],vallenato,,,,,
Parrandeando Con Omar,Omar Geles,"['vallenato', 'vallenato moderno']",vallenato,vallenato moderno,,,,
No Voy A Llorar,Los Diablitos,['vallenato'],vallenato,,,,,
Los Caminos De La Vida,Los Diablitos,['vallenato'],vallenato,,,,,
