Track Name,Track Artist,Track Genre,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6
Una Hoja en Blanco,"Omar Geles, Esmeralda","['vallenato', 'vallenato moderno']",vallenato,vallenato moderno,,,,
Parrandeando Con Omar,Omar Geles,"['vallenato', 'vallenato moderno']",vallenato,vallenato moderno,,,,
